unity_timestamp_s,eye_timestamp_ns,Main_Camera_local_position_x,Main_Camera_local_position_y,Main_Camera_local_position_z,Main_Camera_local_rotation_x,Main_Camera_local_rotation_y,Main_Camera_local_rotation_z,Main_Camera_local_rotation_w,Checkerboard_Stimulus_world_position_x,Checkerboard_Stimulus_world_position_y,Checkerboard_Stimulus_world_position_z,Checkerboard_Stimulus_world_rotation_x,Checkerboard_Stimulus_world_rotation_y,Checkerboard_Stimulus_world_rotation_z,Checkerboard_Stimulus_world_rotation_w,message
9.2948540031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,RecordingStarted|SessionStart;participant=pilot_001;session=checkerboard_pilot;seed=20260901;planned_trials=21;utc=2026-09-03T15:04:32.1831393Z;mapping=visual-space-l-tangent-normalized-cartesian-grid-v2|StimulusHidden;visual_space_l=0.500;fov_deg=90.00;edge_softness_deg=1.00;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.176327;eye=BothEyes|StimulusChanged;visual_space_l=0.500;fov_deg=90.00;edge_softness_deg=1.00;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.176327;eye=BothEyes|StimulusChanged;visual_space_l=0.500;fov_deg=90.00;edge_softness_deg=1.00;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.176327;eye=BothEyes|StimulusChanged;visual_space_l=0.500;fov_deg=90.00;edge_softness_deg=1.00;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.176327;eye=BothEyes|TrialStart;presentation=1;sequence=1;condition=5;repetition=1;attempt=1;eye=BothEyes;fov_deg=90.000;edge_softness_deg=1.000;circular_aperture=True;grid_spacing_deg=10.000;grid_spacing_uv=0.176327;visual_space_l=0.5000|StimulusPresented;visual_space_l=0.500;fov_deg=90.00;edge_softness_deg=1.00;circular_aperture=True;grid_spacing_deg=10.00;grid_spacing_uv=0.176327;eye=BothEyes
9.3021496031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3041086031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3050678031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3059576031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3068346031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3077733031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3086083031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3094279031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3102754031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3110686031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3119350031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
9.3127855031,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,
