participant_id,session_label,session_start_utc,random_seed,mapping_version,presentation_index,sequence_index,total_planned_trials,condition_index,repetition,attempt_number,trial_start_utc,trial_start_unity_s,stimulus_end_unity_s,response_unity_s,stimulus_duration_s,response_time_s,eye_presentation,angular_diameter_deg,aperture_edge_softness_deg,visual_space_l,content_zoom,motion_mode,sweep_direction,sweep_amplitude_deg,sweep_speed_deg_per_s,completed_half_sweeps,min_yaw_deg,max_yaw_deg,dot_seed,dot_count,world_coverage_diameter_deg,carrier_radius_m,response,valid_for_analysis,fixation_sample_valid,fixation_inside_tolerance,fixation_angle_deg,continuous_fixation_s,fixation_valid_sample_fraction,longest_off_target_s,longest_invalid_gaze_s,status
pilot_001,random_dot_l_pilot,2026-09-20T19:43:58.1455403Z,20260901,visual-space-l-directional-content-zoom-v1,1,1,3,1,2,1,2026-09-20T19:43:58.1593004Z,2.785243202154561,66.870293602154561,81.414696402154732,64.0850504,14.544402800000171,BothEyes,70,1,1,1,SimulatedYaw,RightFirst,5,5,9,-4.99996948,4.99968719,44041,5162,110,5,Convex,1,0,0,NaN,0,0,0,0,valid
pilot_001,random_dot_l_pilot,2026-09-20T19:43:58.1455403Z,20260901,visual-space-l-directional-content-zoom-v1,2,2,3,1,3,1,2026-09-20T19:45:17.2920406Z,81.917373302154374,143.64049180215443,145.30587210215435,61.723118500000055,1.6653802999999243,BothEyes,70,1,1,1,SimulatedYaw,LeftFirst,5,5,15,-4.99900055,4.99981689,53217,5162,110,5,Concave,1,0,0,NaN,0,0,0,0,valid
pilot_001,random_dot_l_pilot,2026-09-20T19:43:58.1455403Z,20260901,visual-space-l-directional-content-zoom-v1,3,3,3,1,1,1,2026-09-20T19:46:21.1827335Z,145.80858140215423,0.0011112010779470438,0.0011112010779470438,0,0,BothEyes,70,1,1,1,SimulatedYaw,LeftFirst,5,5,19,-4.9992218,4.99984741,34865,2393,110,5,None,0,0,0,NaN,0,0,0,0,aborted:ControllerDisabled
