participant_id,session_label,session_start_utc,random_seed,mapping_version,presentation_index,sequence_index,total_planned_trials,condition_index,repetition,attempt_number,trial_start_utc,trial_start_unity_s,trial_end_unity_s,response_time_s,eye_presentation,angular_diameter_deg,aperture_edge_softness_deg,circular_aperture_enabled,grid_line_spacing_deg,grid_line_spacing_uv,visual_space_l,content_zoom,oomes_endpoint_equivalent,response,valid_for_analysis,fixation_sample_valid,fixation_inside_tolerance,fixation_angle_deg,continuous_fixation_s,fixation_valid_sample_fraction,longest_off_target_s,longest_invalid_gaze_s,status
pilot_001,checkerboard_pilot,2026-09-04T11:57:44.5375196Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,1,1,21,5,1,1,2026-09-04T11:57:44.5522769Z,19.858346402947973,21.211345202947882,1.3529987999999094,BothEyes,90,1,1,10,0.176326975,0.5,1,1,Convex,1,1,1,0.874020875,1.34240043,1,0,0,valid
pilot_001,checkerboard_pilot,2026-09-04T11:57:44.5375196Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,2,2,21,1,3,1,2026-09-04T11:57:46.4094457Z,21.715722202947973,22.17574640294788,0.46002419999990707,BothEyes,90,1,1,10,0.176326975,1.20000005,1,-0.40000009536743164,Concave,1,1,1,0.874020875,0.458615363,1,0,0,valid
pilot_001,checkerboard_pilot,2026-09-04T11:57:44.5375196Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,3,3,21,6,3,1,2026-09-04T11:57:47.3699797Z,22.676776502947973,0.0016835001134722916,-22.675093002834501,BothEyes,90,1,1,10,0.176326975,0.400000006,1,1.199999988079071,None,0,1,0,61.9588814,0,1,0,0,aborted:ControllerDisabled
